takeoff, somersaults, twists, position, class_id
0, 2.5, 1, 0, 0
0, 2.5, 2, 0, 1
0, 2.5, 3, 0, 2
0, 2.5, 0, 0, 3
0, 2.5, 0, 1, 4
0, 4.5, 0, 1, 5
0, 3.5, 0, 0, 6
0, 3.5, 0, 1, 7
0, 1.5, 2, 2, 8
0, 1.5, 1, 2, 9
0, 1.5, 0, 0, 10
0, 1, 0, 0, 11
0, 0.5, 0, 0, 12
0, 0.5, 0, 3, 13
1, 2.5, 0, 0, 14
1, 2.5, 0, 1, 15
1, 3.5, 0, 1, 16
1, 1.5, 0, 0, 17
1, 1.5, 0, 1, 18
1, 0.5, 0, 0, 19
2, 2, 1.5, 2, 20
2, 2, 2.5, 2, 21
2, 2.5, 1.5, 0, 22
2, 2.5, 2.5, 0, 23
2, 2.5, 0, 0, 24
2, 2.5, 0, 1, 25
2, 3, 0, 0, 26
2, 3, 0, 1, 27
2, 3.5, 0, 0, 28
2, 3.5, 0, 1, 29
2, 1.5, 1.5, 2, 30
2, 1.5, 2.5, 2, 31
2, 1.5, 0.5, 2, 32
2, 1.5, 0.5, 0, 33
2, 1.5, 0.5, 1, 34
2, 0.5, 0, 0, 35
2, 0.5, 0, 1, 36
3, 2.5, 1.5, 0, 37
3, 2.5, 0, 0, 38
3, 2.5, 0, 1, 39
3, 3.5, 0, 1, 40
3, 1.5, 1.5, 2, 41
3, 1.5, 3.5, 2, 42
3, 1.5, 2.5, 2, 43
3, 1.5, 0.5, 2, 44
3, 1.5, 0, 0, 45
3, 0.5, 0, 0, 46
3, 0.5, 0, 1, 47
